London_Borough,ID,Month,Average_price
Bexley,E09000004,1995-03-01,64367.49344
Brent,E09000005,1995-03-01,72015.76274
Bromley,E09000006,1995-03-01,81449.31143
Camden,E09000007,1995-03-01,120282.2131
Croydon,E09000008,1995-03-01,68712.44341
Ealing,E09000009,1995-03-01,81379.86288
Enfield,E09000010,1995-03-01,72190.44144
Greenwich,E09000011,1995-03-01,61377.83464
Hackney,E09000012,1995-03-01,63593.29935
Hammersmith & Fulham,E09000013,1995-03-01,120635.9467
Haringey,E09000014,1995-03-01,78521.94855
Harrow,E09000015,1995-03-01,83416.23759
Havering,E09000016,1995-03-01,69368.02407
Hillingdon,E09000017,1995-03-01,74188.66949
Hounslow,E09000018,1995-03-01,72097.99411
Islington,E09000019,1995-03-01,93465.86407
Kensington & Chelsea,E09000020,1995-03-01,182878.8231
Kingston upon Thames,E09000021,1995-03-01,81111.48848
Lambeth,E09000022,1995-03-01,66336.51868
Lewisham,E09000023,1995-03-01,60288.03002
Merton,E09000024,1995-03-01,80661.68279
Newham,E09000025,1995-03-01,53458.26393
Redbridge,E09000026,1995-03-01,72501.35502
Richmond upon Thames,E09000027,1995-03-01,107325.4742
Southwark,E09000028,1995-03-01,65763.29719
Sutton,E09000029,1995-03-01,70306.83844
Tower Hamlets,E09000030,1995-03-01,63938.67686
Waltham Forest,E09000031,1995-03-01,60871.08493
Wandsworth,E09000032,1995-03-01,87124.81523
Westminster,E09000033,1995-03-01,132260.3417
Barking & Dagenham,E09000002,1995-04-01,53133.50526
Barnet,E09000003,1995-04-01,90762.87492
Bexley,E09000004,1995-04-01,64277.66881
Brent,E09000005,1995-04-01,72965.63094
Bromley,E09000006,1995-04-01,81124.41227
Camden,E09000007,1995-04-01,120097.899
Croydon,E09000008,1995-04-01,68610.04641
Ealing,E09000009,1995-04-01,82188.90498
Enfield,E09000010,1995-04-01,71442.92235
Greenwich,E09000011,1995-04-01,61927.7246
Hackney,E09000012,1995-04-01,65139.64403
Hammersmith & Fulham,E09000013,1995-04-01,121424.6241
Haringey,E09000014,1995-04-01,79545.57477
Harrow,E09000015,1995-04-01,83567.88439
Havering,E09000016,1995-04-01,69444.26215
Hillingdon,E09000017,1995-04-01,73911.40591
Hounslow,E09000018,1995-04-01,71890.28339
Islington,E09000019,1995-04-01,93344.49305
Kensington & Chelsea,E09000020,1995-04-01,184176.9168
Kingston upon Thames,E09000021,1995-04-01,81672.80476
Lambeth,E09000022,1995-04-01,66388.7716
Lewisham,E09000023,1995-04-01,59471.03136
Merton,E09000024,1995-04-01,79990.54333
Newham,E09000025,1995-04-01,54479.75395
Redbridge,E09000026,1995-04-01,72228.60295
Richmond upon Thames,E09000027,1995-04-01,106875.0
Southwark,E09000028,1995-04-01,63073.62117
Sutton,E09000029,1995-04-01,69411.9439
Tower Hamlets,E09000030,1995-04-01,66233.19383
Waltham Forest,E09000031,1995-04-01,60971.39722
Wandsworth,E09000032,1995-04-01,87026.00225
Westminster,E09000033,1995-04-01,133370.2036
Barking & Dagenham,E09000002,1995-05-01,53042.24852
Barnet,E09000003,1995-05-01,90258.00033
Bexley,E09000004,1995-05-01,63997.13588
Brent,E09000005,1995-05-01,73704.04743
Bromley,E09000006,1995-05-01,81542.61561
Camden,E09000007,1995-05-01,119929.2782
Croydon,E09000008,1995-05-01,68844.9169
Ealing,E09000009,1995-05-01,82077.05525
Enfield,E09000010,1995-05-01,70630.77955
Greenwich,E09000011,1995-05-01,63512.99103
Hackney,E09000012,1995-05-01,66193.99212
Hammersmith & Fulham,E09000013,1995-05-01,124433.539
Haringey,E09000014,1995-05-01,79374.0349
Harrow,E09000015,1995-05-01,83853.65615
Havering,E09000016,1995-05-01,68534.52248
Hillingdon,E09000017,1995-05-01,73117.12416
Hounslow,E09000018,1995-05-01,72877.47219
Islington,E09000019,1995-05-01,94346.39917
Kensington & Chelsea,E09000020,1995-05-01,191474.1141
Kingston upon Thames,E09000021,1995-05-01,82123.51084
Lambeth,E09000022,1995-05-01,69035.11076
Lewisham,E09000023,1995-05-01,58551.38387
Merton,E09000024,1995-05-01,80873.98643
Newham,E09000025,1995-05-01,55803.95958
Redbridge,E09000026,1995-05-01,72366.64122
Richmond upon Thames,E09000027,1995-05-01,107707.6799
Southwark,E09000028,1995-05-01,64420.49933
Sutton,E09000029,1995-05-01,69759.21989
Tower Hamlets,E09000030,1995-05-01,66432.85846
Waltham Forest,E09000031,1995-05-01,61494.16938
Wandsworth,E09000032,1995-05-01,86518.05945
Westminster,E09000033,1995-05-01,133911.1117
Barking & Dagenham,E09000002,1995-06-01,53700.34831
Barnet,E09000003,1995-06-01,90107.23471
Bexley,E09000004,1995-06-01,64252.32335
Brent,E09000005,1995-06-01,74310.48167
Bromley,E09000006,1995-06-01,82382.83435
Camden,E09000007,1995-06-01,121887.4625
Croydon,E09000008,1995-06-01,69052.51103
Ealing,E09000009,1995-06-01,81630.66181
Enfield,E09000010,1995-06-01,71348.31147
Greenwich,E09000011,1995-06-01,64751.56404
Hackney,E09000012,1995-06-01,66921.17101
Hammersmith & Fulham,E09000013,1995-06-01,126175.1513
Haringey,E09000014,1995-06-01,79956.3621
Harrow,E09000015,1995-06-01,84173.24689
Havering,E09000016,1995-06-01,68464.60664
Hillingdon,E09000017,1995-06-01,74005.00585
Hounslow,E09000018,1995-06-01,72331.08116
Islington,E09000019,1995-06-01,97428.94311
Kensington & Chelsea,E09000020,1995-06-01,197265.7602
Kingston upon Thames,E09000021,1995-06-01,82205.66822
Lambeth,E09000022,1995-06-01,68881.15764
Lewisham,E09000023,1995-06-01,58041.43543
Merton,E09000024,1995-06-01,80704.92667
Newham,E09000025,1995-06-01,56067.76986
Redbridge,E09000026,1995-06-01,72279.4325
Richmond upon Thames,E09000027,1995-06-01,112865.0542
Southwark,E09000028,1995-06-01,64155.81449
Sutton,E09000029,1995-06-01,70125.24728
Tower Hamlets,E09000030,1995-06-01,66232.16372
Waltham Forest,E09000031,1995-06-01,61547.79643
Wandsworth,E09000032,1995-06-01,88114.3351
Westminster,E09000033,1995-06-01,134562.1941
Barking & Dagenham,E09000002,1995-07-01,52113.12157
Barnet,E09000003,1995-07-01,91441.24768
Bexley,E09000004,1995-07-01,63722.70055
Brent,E09000005,1995-07-01,74127.03788
Bromley,E09000006,1995-07-01,82898.52264
Camden,E09000007,1995-07-01,124027.5768
Croydon,E09000008,1995-07-01,69142.48112
Ealing,E09000009,1995-07-01,82352.2226
Enfield,E09000010,1995-07-01,71837.54011
Greenwich,E09000011,1995-07-01,65486.34112
Hackney,E09000012,1995-07-01,68390.753
Hammersmith & Fulham,E09000013,1995-07-01,124381.5134
Haringey,E09000014,1995-07-01,80746.34881
Harrow,E09000015,1995-07-01,84226.69844
Havering,E09000016,1995-07-01,68680.83996
Hillingdon,E09000017,1995-07-01,74671.13263
Hounslow,E09000018,1995-07-01,73717.78844
Islington,E09000019,1995-07-01,98976.14077
Kensington & Chelsea,E09000020,1995-07-01,197963.3169
Kingston upon Thames,E09000021,1995-07-01,82525.793
Lambeth,E09000022,1995-07-01,69608.72242
Lewisham,E09000023,1995-07-01,58126.37811
Merton,E09000024,1995-07-01,81055.90335
Newham,E09000025,1995-07-01,55458.31693
Redbridge,E09000026,1995-07-01,72880.83974
Richmond upon Thames,E09000027,1995-07-01,114656.6011
Southwark,E09000028,1995-07-01,67024.74767
Sutton,E09000029,1995-07-01,70789.57284
Tower Hamlets,E09000030,1995-07-01,64692.22672
Waltham Forest,E09000031,1995-07-01,61933.52738
Wandsworth,E09000032,1995-07-01,89830.58934
Westminster,E09000033,1995-07-01,133450.2162
Barking & Dagenham,E09000002,1995-08-01,52232.19868
Barnet,E09000003,1995-08-01,92361.31512
Bexley,E09000004,1995-08-01,64432.60005
Brent,E09000005,1995-08-01,73547.0411
Bromley,E09000006,1995-08-01,82054.37156
Camden,E09000007,1995-08-01,125529.8039
Croydon,E09000008,1995-08-01,68993.42545
Ealing,E09000009,1995-08-01,82706.65927
Enfield,E09000010,1995-08-01,72237.94562
Greenwich,E09000011,1995-08-01,65076.43195
Hackney,E09000012,1995-08-01,68096.79385
Hammersmith & Fulham,E09000013,1995-08-01,123625.3196
Haringey,E09000014,1995-08-01,81217.69074
Harrow,E09000015,1995-08-01,84430.61796
Havering,E09000016,1995-08-01,69023.36482
Hillingdon,E09000017,1995-08-01,74967.86534
Hounslow,E09000018,1995-08-01,74479.94802
Islington,E09000019,1995-08-01,98951.20791
Kensington & Chelsea,E09000020,1995-08-01,198037.4218
Kingston upon Thames,E09000021,1995-08-01,83342.84552
Lambeth,E09000022,1995-08-01,68840.02827
Lewisham,E09000023,1995-08-01,58151.3154
Merton,E09000024,1995-08-01,80781.09186
Newham,E09000025,1995-08-01,54709.35467
Redbridge,E09000026,1995-08-01,73275.16891
Richmond upon Thames,E09000027,1995-08-01,112320.4096
Southwark,E09000028,1995-08-01,65525.94434
Sutton,E09000029,1995-08-01,69958.41918
Tower Hamlets,E09000030,1995-08-01,63472.27558
Waltham Forest,E09000031,1995-08-01,61916.4222
Wandsworth,E09000032,1995-08-01,90560.68078
Westminster,E09000033,1995-08-01,136581.5082
Barking & Dagenham,E09000002,1995-09-01,51471.61353
Barnet,E09000003,1995-09-01,93273.12245
Bexley,E09000004,1995-09-01,64509.54767
Brent,E09000005,1995-09-01,73789.54287
Bromley,E09000006,1995-09-01,81440.43008
Camden,E09000007,1995-09-01,120596.8511
Croydon,E09000008,1995-09-01,69393.50023
Ealing,E09000009,1995-09-01,82011.08271
Enfield,E09000010,1995-09-01,71725.22104
Greenwich,E09000011,1995-09-01,63996.81525
Hackney,E09000012,1995-09-01,68752.50284
Hammersmith & Fulham,E09000013,1995-09-01,123094.0484
Haringey,E09000014,1995-09-01,82142.89052
Harrow,E09000015,1995-09-01,83606.97863
Havering,E09000016,1995-09-01,68108.186
Hillingdon,E09000017,1995-09-01,73843.55239
Hounslow,E09000018,1995-09-01,74426.6609
Islington,E09000019,1995-09-01,99582.63778
Kensington & Chelsea,E09000020,1995-09-01,197047.8333
Kingston upon Thames,E09000021,1995-09-01,85110.96835
Lambeth,E09000022,1995-09-01,70155.81997
Lewisham,E09000023,1995-09-01,58742.99034
Merton,E09000024,1995-09-01,80824.70075
Newham,E09000025,1995-09-01,54585.50364
Redbridge,E09000026,1995-09-01,73204.02373
Richmond upon Thames,E09000027,1995-09-01,110424.5703
Southwark,E09000028,1995-09-01,63467.00948
Sutton,E09000029,1995-09-01,69937.40214
Tower Hamlets,E09000030,1995-09-01,62177.59435
Waltham Forest,E09000031,1995-09-01,61548.15206
Wandsworth,E09000032,1995-09-01,91373.6984
Westminster,E09000033,1995-09-01,135993.0705
Barking & Dagenham,E09000002,1995-10-01,51513.7576
Barnet,E09000003,1995-10-01,92567.38498
Bexley,E09000004,1995-10-01,64529.93725
Brent,E09000005,1995-10-01,73264.05385
Bromley,E09000006,1995-10-01,81862.16087
Camden,E09000007,1995-10-01,117458.4922
Croydon,E09000008,1995-10-01,68934.61234
Ealing,E09000009,1995-10-01,80522.66054
Enfield,E09000010,1995-10-01,72349.13744
Greenwich,E09000011,1995-10-01,63405.26599
Hackney,E09000012,1995-10-01,67619.65052
Hammersmith & Fulham,E09000013,1995-10-01,123442.56
Haringey,E09000014,1995-10-01,81791.48237
Harrow,E09000015,1995-10-01,82492.72882
Havering,E09000016,1995-10-01,67425.63891
Hillingdon,E09000017,1995-10-01,72992.50159
Hounslow,E09000018,1995-10-01,73643.14027
Islington,E09000019,1995-10-01,97580.38673
Kensington & Chelsea,E09000020,1995-10-01,200005.8308
Kingston upon Thames,E09000021,1995-10-01,85726.97473
Lambeth,E09000022,1995-10-01,69616.18689
Lewisham,E09000023,1995-10-01,58073.14016
Merton,E09000024,1995-10-01,79569.22895
Newham,E09000025,1995-10-01,54789.55504
Redbridge,E09000026,1995-10-01,72917.47147
Richmond upon Thames,E09000027,1995-10-01,108406.7006
Southwark,E09000028,1995-10-01,60885.98483
Sutton,E09000029,1995-10-01,69963.76558
Tower Hamlets,E09000030,1995-10-01,62066.45135
Waltham Forest,E09000031,1995-10-01,60572.57036
Wandsworth,E09000032,1995-10-01,90246.40944
Westminster,E09000033,1995-10-01,134513.3863
Barking & Dagenham,E09000002,1995-11-01,50848.67787
Barnet,E09000003,1995-11-01,90883.16125
Bexley,E09000004,1995-11-01,63846.0337
Brent,E09000005,1995-11-01,72782.00528
Bromley,E09000006,1995-11-01,82557.7755
Camden,E09000007,1995-11-01,115418.8396
Croydon,E09000008,1995-11-01,68879.74634
Ealing,E09000009,1995-11-01,79272.34618
Enfield,E09000010,1995-11-01,71987.86869
Greenwich,E09000011,1995-11-01,63744.02999
Hackney,E09000012,1995-11-01,67237.62827
Hammersmith & Fulham,E09000013,1995-11-01,121930.0435
Haringey,E09000014,1995-11-01,81129.55891
Harrow,E09000015,1995-11-01,82245.73461
Havering,E09000016,1995-11-01,66181.79433
Hillingdon,E09000017,1995-11-01,71760.09266
Hounslow,E09000018,1995-11-01,73047.37035
Islington,E09000019,1995-11-01,95030.46517
Kensington & Chelsea,E09000020,1995-11-01,199674.9633
Kingston upon Thames,E09000021,1995-11-01,84557.41994
Lambeth,E09000022,1995-11-01,68054.24621
Lewisham,E09000023,1995-11-01,58074.62011
Merton,E09000024,1995-11-01,79912.78215
Newham,E09000025,1995-11-01,54323.96316
Redbridge,E09000026,1995-11-01,72393.65468
Richmond upon Thames,E09000027,1995-11-01,109129.876
Southwark,E09000028,1995-11-01,61725.34542
Sutton,E09000029,1995-11-01,70608.37527
Tower Hamlets,E09000030,1995-11-01,62414.27583
Waltham Forest,E09000031,1995-11-01,61543.0786
Wandsworth,E09000032,1995-11-01,89476.01779
Westminster,E09000033,1995-11-01,131740.7854
Barking & Dagenham,E09000002,1995-12-01,50945.18535
Barnet,E09000003,1995-12-01,91133.89545
Bexley,E09000004,1995-12-01,63816.94239
Brent,E09000005,1995-12-01,72523.66937
Bromley,E09000006,1995-12-01,82966.33012
Camden,E09000007,1995-12-01,118739.0147
Croydon,E09000008,1995-12-01,68407.14924
Ealing,E09000009,1995-12-01,79699.68509
Enfield,E09000010,1995-12-01,72390.76252
Greenwich,E09000011,1995-12-01,64105.07001
Hackney,E09000012,1995-12-01,65864.67386
Hammersmith & Fulham,E09000013,1995-12-01,122722.7071
Haringey,E09000014,1995-12-01,81327.1995
Harrow,E09000015,1995-12-01,82054.42111
Havering,E09000016,1995-12-01,66747.26272
Hillingdon,E09000017,1995-12-01,72745.82284
Hounslow,E09000018,1995-12-01,73499.04742
Islington,E09000019,1995-12-01,91095.43508
Kensington & Chelsea,E09000020,1995-12-01,200722.0684
Kingston upon Thames,E09000021,1995-12-01,83584.37637
Lambeth,E09000022,1995-12-01,67199.22587
Lewisham,E09000023,1995-12-01,57700.33538
Merton,E09000024,1995-12-01,79580.82347
Newham,E09000025,1995-12-01,54521.07385
Redbridge,E09000026,1995-12-01,72587.48626
Richmond upon Thames,E09000027,1995-12-01,108566.7583
Southwark,E09000028,1995-12-01,62394.11278
Sutton,E09000029,1995-12-01,70204.68906
Tower Hamlets,E09000030,1995-12-01,63985.91194
Waltham Forest,E09000031,1995-12-01,61389.99541
Wandsworth,E09000032,1995-12-01,88478.32853
Westminster,E09000033,1995-12-01,133394.3919
Barking & Dagenham,E09000002,1996-01-01,50828.11236
Barnet,E09000003,1996-01-01,91111.0059
Bexley,E09000004,1996-01-01,63995.98809
Brent,E09000005,1996-01-01,72806.34981
Bromley,E09000006,1996-01-01,82210.29215
Camden,E09000007,1996-01-01,119560.4787
Croydon,E09000008,1996-01-01,68006.00735
Ealing,E09000009,1996-01-01,80214.26526
Enfield,E09000010,1996-01-01,71544.17955
Greenwich,E09000011,1996-01-01,62417.08225
Hackney,E09000012,1996-01-01,66327.29116
Hammersmith & Fulham,E09000013,1996-01-01,126913.6659
Haringey,E09000014,1996-01-01,81677.24807
Harrow,E09000015,1996-01-01,83215.70112
Havering,E09000016,1996-01-01,67346.84621
Hillingdon,E09000017,1996-01-01,72868.75596
Hounslow,E09000018,1996-01-01,73376.75316
Islington,E09000019,1996-01-01,89406.19881
Kensington & Chelsea,E09000020,1996-01-01,198311.884
Kingston upon Thames,E09000021,1996-01-01,82561.00187
Lambeth,E09000022,1996-01-01,68779.89129
Lewisham,E09000023,1996-01-01,57838.30409
Merton,E09000024,1996-01-01,81276.64211
Newham,E09000025,1996-01-01,54375.56794
Redbridge,E09000026,1996-01-01,72860.51487
Richmond upon Thames,E09000027,1996-01-01,111173.6582
Southwark,E09000028,1996-01-01,65752.93541
Sutton,E09000029,1996-01-01,70031.19539
Tower Hamlets,E09000030,1996-01-01,67551.52087
Waltham Forest,E09000031,1996-01-01,62059.57219
Wandsworth,E09000032,1996-01-01,89091.88568
Westminster,E09000033,1996-01-01,133843.1065
Barking & Dagenham,E09000002,1996-02-01,51440.74603
Barnet,E09000003,1996-02-01,92429.53023
Bexley,E09000004,1996-02-01,64503.65692
Brent,E09000005,1996-02-01,73084.06255
Bromley,E09000006,1996-02-01,81418.50542
Camden,E09000007,1996-02-01,123370.7927
Croydon,E09000008,1996-02-01,68031.99343
Ealing,E09000009,1996-02-01,80836.42097
Enfield,E09000010,1996-02-01,71070.19192
Greenwich,E09000011,1996-02-01,61713.58637
Hackney,E09000012,1996-02-01,66988.24734
Hammersmith & Fulham,E09000013,1996-02-01,129462.9145
Haringey,E09000014,1996-02-01,83072.90266
Harrow,E09000015,1996-02-01,83764.50392
Havering,E09000016,1996-02-01,68749.02309
Hillingdon,E09000017,1996-02-01,74778.2455
Hounslow,E09000018,1996-02-01,73082.11156
Islington,E09000019,1996-02-01,89930.2568
Kensington & Chelsea,E09000020,1996-02-01,195949.6001
Kingston upon Thames,E09000021,1996-02-01,84364.56842
Lambeth,E09000022,1996-02-01,72306.1872
Lewisham,E09000023,1996-02-01,58273.89866
Merton,E09000024,1996-02-01,80460.39552
Newham,E09000025,1996-02-01,55117.37979
Redbridge,E09000026,1996-02-01,73535.22956
Richmond upon Thames,E09000027,1996-02-01,112960.6376
Southwark,E09000028,1996-02-01,67876.03255
Sutton,E09000029,1996-02-01,69290.69004
Tower Hamlets,E09000030,1996-02-01,71069.89695
Waltham Forest,E09000031,1996-02-01,61589.40272
Wandsworth,E09000032,1996-02-01,89094.98005
Westminster,E09000033,1996-02-01,136229.4608
Barking & Dagenham,E09000002,1996-03-01,51907.0727
Barnet,E09000003,1996-03-01,91409.82097
Bexley,E09000004,1996-03-01,64787.98353
Brent,E09000005,1996-03-01,72779.77274
Bromley,E09000006,1996-03-01,81633.34294
Camden,E09000007,1996-03-01,124722.9955
Croydon,E09000008,1996-03-01,68269.86869
Ealing,E09000009,1996-03-01,81011.37535
Enfield,E09000010,1996-03-01,71544.14097
Greenwich,E09000011,1996-03-01,62475.35483
Hackney,E09000012,1996-03-01,67706.86999
Hammersmith & Fulham,E09000013,1996-03-01,134456.94
Haringey,E09000014,1996-03-01,82827.76927
Harrow,E09000015,1996-03-01,84304.89319
Havering,E09000016,1996-03-01,68851.79462
Hillingdon,E09000017,1996-03-01,74650.27248
Hounslow,E09000018,1996-03-01,71602.79082
Islington,E09000019,1996-03-01,90157.795
Kensington & Chelsea,E09000020,1996-03-01,197476.6295
Kingston upon Thames,E09000021,1996-03-01,84655.84753
Lambeth,E09000022,1996-03-01,71762.01901
Lewisham,E09000023,1996-03-01,58482.96053
Merton,E09000024,1996-03-01,80063.35166
Newham,E09000025,1996-03-01,55012.36778
Redbridge,E09000026,1996-03-01,73850.30963
Richmond upon Thames,E09000027,1996-03-01,114699.521
Southwark,E09000028,1996-03-01,68867.26701
Sutton,E09000029,1996-03-01,69732.27564
Tower Hamlets,E09000030,1996-03-01,69637.53256
Waltham Forest,E09000031,1996-03-01,61695.20307
Wandsworth,E09000032,1996-03-01,90460.7968
Westminster,E09000033,1996-03-01,132809.6802
Barking & Dagenham,E09000002,1996-04-01,51724.02571
Barnet,E09000003,1996-04-01,92394.18958
Bexley,E09000004,1996-04-01,65285.91687
Brent,E09000005,1996-04-01,72369.71621
Bromley,E09000006,1996-04-01,81480.63573
Camden,E09000007,1996-04-01,129158.517
Croydon,E09000008,1996-04-01,68897.631
Ealing,E09000009,1996-04-01,81041.0616
Enfield,E09000010,1996-04-01,72517.3322
Greenwich,E09000011,1996-04-01,64644.68179
Hackney,E09000012,1996-04-01,67061.78846
Hammersmith & Fulham,E09000013,1996-04-01,131883.6783
Haringey,E09000014,1996-04-01,83631.18089
Harrow,E09000015,1996-04-01,84108.82158
Havering,E09000016,1996-04-01,68377.31553
Hillingdon,E09000017,1996-04-01,75171.04265
Hounslow,E09000018,1996-04-01,71630.09888
Islington,E09000019,1996-04-01,94201.35982
Kensington & Chelsea,E09000020,1996-04-01,201218.2139
Kingston upon Thames,E09000021,1996-04-01,86285.08696
Lambeth,E09000022,1996-04-01,71664.03223
Lewisham,E09000023,1996-04-01,59520.18907
Merton,E09000024,1996-04-01,82033.54911
Newham,E09000025,1996-04-01,54700.51295
Redbridge,E09000026,1996-04-01,74676.48488
Richmond upon Thames,E09000027,1996-04-01,114881.3497
Southwark,E09000028,1996-04-01,69598.08269
Sutton,E09000029,1996-04-01,69485.02452
Tower Hamlets,E09000030,1996-04-01,66727.03737
Waltham Forest,E09000031,1996-04-01,61466.51965
Wandsworth,E09000032,1996-04-01,90408.27366
Westminster,E09000033,1996-04-01,134668.1595
Barking & Dagenham,E09000002,1996-05-01,51735.7298
Barnet,E09000003,1996-05-01,91058.91069
Bexley,E09000004,1996-05-01,65080.67179
Brent,E09000005,1996-05-01,72994.82811
Bromley,E09000006,1996-05-01,82372.45739
Camden,E09000007,1996-05-01,135335.591
Croydon,E09000008,1996-05-01,68831.80146
Ealing,E09000009,1996-05-01,81821.0188
Enfield,E09000010,1996-05-01,73630.49938
Greenwich,E09000011,1996-05-01,66461.74834
Hackney,E09000012,1996-05-01,66986.24782
Hammersmith & Fulham,E09000013,1996-05-01,130970.0502
Haringey,E09000014,1996-05-01,84139.18163
Harrow,E09000015,1996-05-01,84738.3242
Havering,E09000016,1996-05-01,68156.21512
Hillingdon,E09000017,1996-05-01,74453.72079
Hounslow,E09000018,1996-05-01,72828.58776
Islington,E09000019,1996-05-01,97260.34402
Kensington & Chelsea,E09000020,1996-05-01,202340.568
Kingston upon Thames,E09000021,1996-05-01,85939.13308
Lambeth,E09000022,1996-05-01,71386.2398
Lewisham,E09000023,1996-05-01,60172.77171
Merton,E09000024,1996-05-01,83677.77538
Newham,E09000025,1996-05-01,54650.53206
Redbridge,E09000026,1996-05-01,74310.75475
Richmond upon Thames,E09000027,1996-05-01,117000.2218
Southwark,E09000028,1996-05-01,68910.19217
Sutton,E09000029,1996-05-01,70838.08611
Tower Hamlets,E09000030,1996-05-01,65601.77826
Waltham Forest,E09000031,1996-05-01,61074.7762
Wandsworth,E09000032,1996-05-01,91533.11758
Westminster,E09000033,1996-05-01,133050.9281
Barking & Dagenham,E09000002,1996-06-01,50761.40069
Barnet,E09000003,1996-06-01,91978.18792
Bexley,E09000004,1996-06-01,65119.76321
Brent,E09000005,1996-06-01,73497.60498
Bromley,E09000006,1996-06-01,82946.43168
Camden,E09000007,1996-06-01,143861.8155
Croydon,E09000008,1996-06-01,69051.78199
Ealing,E09000009,1996-06-01,82562.44356
Enfield,E09000010,1996-06-01,74158.31871
Greenwich,E09000011,1996-06-01,66510.44078
Hackney,E09000012,1996-06-01,69123.68176
Hammersmith & Fulham,E09000013,1996-06-01,128463.7615
Haringey,E09000014,1996-06-01,84690.43109
Harrow,E09000015,1996-06-01,85387.18072
Havering,E09000016,1996-06-01,68488.37037
Hillingdon,E09000017,1996-06-01,74620.87186
Hounslow,E09000018,1996-06-01,74539.27162
Islington,E09000019,1996-06-01,99609.63121
Kensington & Chelsea,E09000020,1996-06-01,199343.0172
Kingston upon Thames,E09000021,1996-06-01,87986.89677
Lambeth,E09000022,1996-06-01,73469.03398
Lewisham,E09000023,1996-06-01,60283.51267
Merton,E09000024,1996-06-01,84550.90024
Newham,E09000025,1996-06-01,54390.23111
Redbridge,E09000026,1996-06-01,74998.49054
Richmond upon Thames,E09000027,1996-06-01,117604.1678
Southwark,E09000028,1996-06-01,70412.70159
Sutton,E09000029,1996-06-01,71883.73349
Tower Hamlets,E09000030,1996-06-01,67436.63385
Waltham Forest,E09000031,1996-06-01,61424.66713
Wandsworth,E09000032,1996-06-01,92090.01945
Westminster,E09000033,1996-06-01,138851.7403
Barking & Dagenham,E09000002,1996-07-01,50621.10709
